"Date(UTC)","Julian Date","MET","TS","Energy Flux [0.1-100 GeV](MeV cm-2 s-1)","Energy Flux Error","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454698.5","240883201","1068.5","1.31e-4","7.00e-6","-2.2","-","47.81","1e-8","0","bin1.log"
"Sep 19 2008","2454728.5","243475201","503.52","9.11e-5","6.80e-6","-2.2","-","18.73","1e-8","0","bin2.log"
"Oct 19 2008","2454758.5","246067201","830.44","1.18e-4","7.00e-6","-2.2","-","10.82","1e-8","0","bin3.log"
"Nov 18 2008","2454788.5","248659201","4571.83","3.88e-4","1.10e-5","-2.2","-","41.06","1e-8","0","bin4.log"
"Dec 18 2008","2454818.5","251251201","5989.14","4.10e-4","1.10e-5","-2.2","-","72.26","1e-8","0","bin5.log"
"Jan 17 2009","2454848.499988426","253843201","3195.2","3.02e-4","1.00e-5","-2.2","-","104.06","1e-8","0","bin6.log"
"Feb 16 2009","2454878.499988426","256435201","6927.09","4.54e-4","1.10e-5","-2.2","-","135.15","1e-8","0","bin7.log"
"Mar 18 2009","2454908.499988426","259027201","1070.3","1.50e-4","8.00e-6","-2.2","-","163.01","1e-8","0","bin8.log"
"Apr 17 2009","2454938.499988426","261619201","647.16","9.46e-5","6.60e-6","-2.2","-","161.12","1e-8","0","bin9.log"
"May 17 2009","2454968.499988426","264211201","553.77","9.42e-5","6.80e-6","-2.2","-","135.52","1e-8","0","bin10.log"
"Jun 16 2009","2454998.499988426","266803201","739.5","1.15e-4","7.00e-6","-2.2","-","108.78","1e-8","0","bin11.log"
"Jul 16 2009","2455028.499988426","269395201","3082.24","2.83e-4","1.00e-5","-2.2","-","81.24","1e-8","0","bin12.log"
"Aug 15 2009","2455058.499988426","271987201","3177.29","3.31e-4","1.10e-5","-2.2","-","52.84","1e-8","0","bin13.log"
"Sep 14 2009","2455088.499988426","274579201","2225.2","2.56e-4","1.00e-5","-2.2","-","23.84","1e-8","0","bin14.log"
"Oct 14 2009","2455118.499988426","277171201","1088.4","2.33e-4","1.20e-5","-2.2","-","5.62","1e-8","0","bin15.log"
"Nov 13 2009","2455148.499988426","279763201","792.86","1.38e-4","8.00e-6","-2.2","-","35.71","1e-8","0","bin16.log"
"Dec 13 2009","2455178.499988426","282355201","792.98","1.68e-4","1.00e-5","-2.2","-","66.74","1e-8","0","bin17.log"
"Jan 12 2010","2455208.499988426","284947201","404.93","9.50e-5","8.00e-6","-2.2","-","98.51","1e-8","0","bin18.log"
"Feb 11 2010","2455238.499988426","287539201","479.18","1.06e-4","8.10e-6","-2.2","-","129.84","1e-8","0","bin19.log"
"Mar 13 2010","2455268.499988426","290131201","412.75","1.07e-4","8.70e-6","-2.2","-","158.72","1e-8","0","bin20.log"
"Apr 12 2010","2455298.499988426","292723201","245.98","7.02e-5","7.00e-6","-2.2","-","164.93","1e-8","0","bin21.log"
"May 12 2010","2455328.499988426","295315201","113.46","3.86e-5","5.50e-6","-2.2","-","140.13","1e-8","0","bin22.log"
"Jun 11 2010","2455358.499988426","297907201","157.36","4.25e-5","5.20e-6","-2.2","-","113.50","1e-8","0","bin23.log"
"Jul 11 2010","2455388.499988426","300499201","162.74","4.76e-5","6.00e-6","-2.2","-","86.12","1e-8","0","bin24.log"
"Aug 10 2010","2455418.499988426","303091201","170.04","4.89e-5","5.90e-6","-2.2","-","57.85","1e-8","0","bin25.log"
"Sep 09 2010","2455448.499988426","305683201","1182.14","1.87e-4","1.00e-5","-2.2","-","28.94","1e-8","0","bin26.log"
"Oct 09 2010","2455478.499988426","308275201","1125.68","2.43e-4","1.30e-5","-2.2","-","0.47","1e-8","0","bin27.log"
"Nov 08 2010","2455508.499988426","310867201","972.93","1.53e-4","9.00e-6","-2.2","-","30.39","1e-8","0","bin28.log"
"Dec 08 2010","2455538.499988426","313459201","657.11","1.53e-4","1.00e-5","-2.2","-","61.25","1e-8","0","bin29.log"
"Jan 07 2011","2455568.499988426","316051201","1168.06","1.58e-4","8.00e-6","-2.2","-","92.95","1e-8","0","bin30.log"
"Feb 06 2011","2455598.499988426","318643201","372.48","1.01e-4","8.60e-6","-2.2","-","124.47","1e-8","0","bin31.log"
"Mar 08 2011","2455628.499988426","321235201","602.46","1.09e-4","7.00e-6","-2.2","-","154.05","1e-8","0","bin32.log"
"Apr 07 2011","2455658.499988426","323827201","807.64","1.92e-4","1.20e-5","-2.2","-","167.92","1e-8","0","bin33.log"
