t,Vin,Vout_4,Vout_1,Vout_0.25
0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.0,0.0,0.0
0.2,0.2,0.0025000000000000005,0.010000000000000002,0.04000000000000001
0.30000000000000004,0.30000000000000004,0.007437500000000001,0.029000000000000005,0.10400000000000001
0.4,0.4,0.014751562500000003,0.05610000000000001,0.18240000000000003
0.5,0.5,0.024382773437500005,0.09049000000000001,0.26944
0.6000000000000001,0.6000000000000001,0.036273204101562505,0.13144100000000003,0.361664
0.7000000000000001,0.7000000000000001,0.050366373999023446,0.17829690000000004,0.4569984
0.8,0.8,0.06660721464904787,0.23046721000000003,0.5541990400000001
0.9,0.9,0.08494203428282168,0.28742048900000006,0.6525194240000001
1.0,1.0,0.10531848342575115,0.34867844010000004,0.7515116544
1.1,1.1,0.12768552134010736,0.41381059609000004,0.85090699264
1.2000000000000002,1.2000000000000002,0.15199338330660467,0.48242953648100007,0.950544195584
1.3,1.3,0.17819354872393955,0.5541865828329001,1.0503265173504002
1.4000000000000001,1.4000000000000001,0.20623871000584107,0.6287679245496101,1.1501959104102402
1.5,1.5,0.23608274225569503,0.705891132094649,1.2501175462461442
1.6,1.6,0.26768067369930265,0.7853020188851841,1.3500705277476865
1.7000000000000002,1.7000000000000002,0.3009886568568201,0.8667718169966657,1.450042316648612
1.8,1.8,0.33596394043539957,0.9500946352969992,1.5500253899891674
1.9000000000000001,1.9000000000000001,0.37256484192451456,1.0350851717672993,1.6500152339935004
2.0,2.0,0.4107507208764017,1.1215766545905694,1.7500091403961002
2.1,2.1,0.45048195285449166,1.2094189891315126,1.85000548423766
2.2,2.2,0.4917199040331294,1.2984770902183613,1.9500032905425961
2.3000000000000003,2.3000000000000003,0.5344269064323012,1.3886293811965251,2.050001974325558
2.4000000000000004,2.4000000000000004,0.5785662337714936,1.4797664430768727,2.150001184595335
2.5,2.5,0.6241020779272063,1.5717897987691853,2.250000710757201
2.6,2.6,0.6709995259790261,1.6646108188922668,2.350000426454321
2.7,2.7,0.7192245378295504,1.7581497370030401,2.4500002558725926
2.8000000000000003,2.8000000000000003,0.7687439243838117,1.852334763302736,2.5500001535235555
2.9000000000000004,2.9000000000000004,0.8195253262742164,1.9471012869724624,2.6500000921141336
3.0,3.0,0.871537193117361,2.0423911582752163,2.7500000552684805
3.1,3.1,0.924748763289427,2.1381520424476945,2.850000033161088
3.2,3.2,0.9791300442071913,2.234336838202925,2.950000019896653
3.3000000000000003,3.3000000000000003,1.0346517931020116,2.3309031543826326,3.0500000119379918
3.4000000000000004,3.4000000000000004,1.0912854982744613,2.4278128389443694,3.150000007162795
3.5,3.5,1.1490033608175998,2.5250315550499325,3.2500000042976773
3.6,3.6,1.2077782767971599,2.6225283995449393,3.3500000025786063
3.7,3.7,1.267583819877231,2.7202755595904455,3.450000001547164
3.8000000000000003,3.8000000000000003,1.3283942243803002,2.818248003631401,3.5500000009282986
3.9000000000000004,3.9000000000000004,1.3901843687707927,2.916423203268261,3.6500000005569793
4.0,4.0,1.452929759551523,3.0147808829414346,3.750000000334188
4.1000000000000005,4.1000000000000005,1.5166065155627348,3.113302794647291,3.8500000002005126
4.2,4.2,1.5811913526736665,3.211972515182562,3.950000000120308
4.3,4.3,1.646661568856825,3.310775263664306,4.050000000072185
4.4,4.4,1.7129950296354042,3.409697737297875,4.150000000043311
4.5,4.5,1.7801701538945192,3.508727963568088,4.250000000025986
4.6000000000000005,4.6000000000000005,1.8481659000471562,3.6078551672112793,4.350000000015592
4.7,4.7,1.9169617525459772,3.7070696504901512,4.450000000009355
4.800000000000001,4.800000000000001,1.9865377087323277,3.8063626854411363,4.550000000005613
4.9,4.9,2.0568742660140193,3.9057264168970227,4.650000000003368
5.0,5.0,2.127952409363669,4.0051537752073205,4.7500000000020215
5.1000000000000005,5.1000000000000005,2.199753599129577,4.104638397686588,4.850000000001213
5.2,5.2,2.2722597591513374,4.20417455791793,4.950000000000728
5.300000000000001,5.300000000000001,2.345453265172554,4.303757102126137,5.050000000000437
5.4,5.4,2.4193169335432403,4.403381391913523,5.150000000000262
5.5,5.5,2.4938340102046594,4.503043252722171,5.250000000000157
5.6000000000000005,5.6000000000000005,2.568988159949543,4.602738927449954,5.350000000000095
5.7,5.7,2.6447634559508044,4.702465034704958,5.450000000000057
5.800000000000001,5.800000000000001,2.721144369552034,4.8022185312344625,5.5500000000000345
5.9,5.9,2.7981157603132334,4.901996678111017,5.650000000000021
6.0,6.0,2.8756628663054027,5.001797010299915,5.750000000000012
6.1000000000000005,6.1000000000000005,2.9537712946477677,5.1016173092699235,5.850000000000008
6.2,6.2,3.0324270122815733,5.201455578342931,5.950000000000005
6.300000000000001,6.300000000000001,3.1116163369745338,5.301310020508638,6.0500000000000025
6.4,6.4,3.1913259285501705,5.401179018457775,6.150000000000002
6.5,6.5,3.271542780336416,5.501061116611997,6.250000000000002
6.6000000000000005,6.6000000000000005,3.3522542108280056,5.600955004950798,6.350000000000001
6.7,6.7,3.4334478555573056,5.700859504455718,6.450000000000001
6.800000000000001,6.800000000000001,3.515111659168373,5.800773554010147,6.550000000000001
6.9,6.9,3.5972338676891638,5.900696198609132,6.65
7.0,7.0,3.6798030209969346,6.000626578748219,6.75
7.1000000000000005,7.1000000000000005,3.7628079454720114,6.100563920873396,6.85
7.2,7.2,3.846237746835211,6.200507528786057,6.95
7.300000000000001,7.300000000000001,3.9300818031643305,6.300456775907451,7.05
7.4,7.4,4.014329758085222,6.400411098316706,7.15
7.5,7.5,4.098971514133091,6.500369988485035,7.25
7.6000000000000005,7.6000000000000005,4.1839972262797644,6.600332989636532,7.35
7.7,7.7,4.26939729562277,6.700299690672878,7.45
7.800000000000001,7.800000000000001,4.355162363232201,6.8002697216055905,7.55
7.9,7.9,4.441283304151396,6.900242749445032,7.65
8.0,8.0,4.527751221547611,7.000218474500529,7.75
8.1,8.1,4.6145574410089205,7.100196627050476,7.85
8.200000000000001,8.200000000000001,4.701693504983697,7.200176964345428,7.949999999999999
8.3,8.3,4.789151167359105,7.300159267910885,8.05
8.4,8.4,4.876922388175127,7.400143341119797,8.15
8.5,8.5,4.964999328470749,7.500129007007818,8.25
8.6,8.6,5.05337434525898,7.600116106307036,8.35
8.700000000000001,8.700000000000001,5.1420399866275055,7.7001044956763325,8.45
8.8,8.8,5.230988986961818,7.8000940461087,8.55
8.9,8.9,5.320214262287773,7.90008464149783,8.65
9.0,9.0,5.409708905730579,8.000076177348047,8.75
9.1,9.1,5.499466183087314,8.100068559613243,8.85
9.200000000000001,9.200000000000001,5.5894795285101315,8.200061703651919,8.95
9.3,9.3,5.6797425402973785,8.300055533286727,9.05
9.4,9.4,5.770248976789944,8.400049979958055,9.15
9.5,9.5,5.860992752370195,8.50004498196225,9.25
9.600000000000001,9.600000000000001,5.95196793356094,8.600040483766024,9.35
9.700000000000001,9.700000000000001,6.043168735221917,8.700036435389421,9.450000000000001
9.8,9.8,6.134589516841369,8.80003279185048,9.55
9.9,9.9,6.226224778920335,8.900029512665432,9.65
