"Date(UTC)","Julian Date","MET","TS","Energy Flux [0.1-100 GeV](MeV cm-2 s-1)","Energy Flux Error","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","4.74","1.09e-5","6.63e-6","-2.36","-","67.49","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","14.39","2.17e-5","8.00e-6","-2.36","-","74.22","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","7.5","1.80e-5","8.42e-6","-2.36","-","80.84","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","25.32","3.23e-5","9.60e-6","-2.36","-","87.37","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","14.58","2.75e-5","9.50e-6","-2.36","-","93.81","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","5.86","1.50e-5","7.61e-6","-2.36","-","100.19","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","10.87","1.57e-5","6.91e-6","-2.36","-","106.51","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","7.5","1.44e-5","7.00e-6","-2.36","-","112.80","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","59.84","4.49e-5","9.30e-6","-2.36","-","119.08","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","5.58","1.54e-5","7.99e-6","-2.36","-","125.38","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","27.32","3.55e-5","1.04e-5","-2.36","-","131.72","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","0.11","< 2.04e-5","-","-","-","138.12","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","11.48","1.95e-5","7.80e-6","-2.36","-","144.61","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","9.01","1.93e-5","7.90e-6","-2.36","-","151.17","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","16.8","2.23e-5","7.30e-6","-2.36","-","157.78","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","21.04","2.12e-5","7.70e-6","-2.36","-","164.29","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","108.4","6.70e-5","1.03e-5","-2.36","-","170.15","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","83.4","6.81e-5","1.18e-5","-2.36","-","172.82","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","156.34","1.07e-4","1.45e-5","-2.36","-","169.16","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","189.68","1.12e-4","1.40e-5","-2.36","-","162.68","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","76.21","5.15e-5","9.40e-6","-2.36","-","155.46","1e-8","0","bin21.log"
"Jan 02 2009","2454833.999988426","252590401","35.88","3.57e-5","9.00e-6","-2.36","-","147.99","1e-8","0","bin22.log"
"Jan 09 2009","2454840.999988426","253195201","8.21","1.75e-5","7.50e-6","-2.36","-","140.45","1e-8","0","bin23.log"
"Jan 16 2009","2454847.999988426","253800001","89.57","5.08e-5","9.00e-6","-2.36","-","132.93","1e-8","0","bin24.log"
"Jan 23 2009","2454854.999988426","254404801","44.08","3.82e-5","8.90e-6","-2.36","-","125.47","1e-8","0","bin25.log"
"Jan 30 2009","2454861.999988426","255009601","26.66","3.42e-5","9.80e-6","-2.36","-","118.13","1e-8","0","bin26.log"
"Feb 06 2009","2454868.999988426","255614401","24.89","3.26e-5","9.70e-6","-2.36","-","110.93","1e-8","0","bin27.log"
"Feb 13 2009","2454875.999988426","256219201","13.91","2.83e-5","9.70e-6","-2.36","-","103.87","1e-8","0","bin28.log"
"Feb 20 2009","2454882.999988426","256824001","16.72","1.70e-5","6.80e-6","-2.36","-","96.97","1e-8","0","bin29.log"
"Feb 27 2009","2454889.999988426","257428801","16.06","2.10e-5","7.40e-6","-2.36","-","90.20","1e-8","0","bin30.log"
"Mar 06 2009","2454896.999988426","258033601","11.39","2.02e-5","7.70e-6","-2.36","-","83.58","1e-8","0","bin31.log"
"Mar 13 2009","2454903.999988426","258638401","5.02","1.72e-5","1.03e-5","-2.36","-","77.07","1e-8","0","bin32.log"
"Mar 20 2009","2454910.999988426","259243201","44.3","4.44e-5","1.01e-5","-2.36","-","70.65","1e-8","0","bin33.log"
"Mar 27 2009","2454917.999988426","259848001","1.08","< 2.45e-5","-","-","-","64.31","1e-8","0","bin34.log"
